switchName:	sp-main-san01
switchType:	120.0
switchState:	Online
switchMode:	Native
switchRole:	Principal
switchDomain:	1
switchId:	fffc01
switchWwn:	10:00:c4:f5:7c:c3:a2:53
zoning:		ON (sp_main_san_cfg_01)
switchBeacon:	OFF
FC Router:	OFF
HIF Mode:	OFF

Index Slot Port Address Media  Speed        State    Proto
============================================================
 156    2   28   019c00   id    N16	  Online      FC  F-Port  51:40:2e:c0:14:82:13:d8
 157    2   29   019d00   id    N16	  Online      FC  F-Port  51:40:2e:c0:14:82:23:b4
 158    2   30   019e00   id    N16	  Online      FC  F-Port  50:00:09:75:98:05:80:04
 159    2   31   019f00   id    N16	  Online      FC  F-Port  50:00:09:75:98:05:80:05
 272    2   32   019880   id    N16	  Online      FC  F-Port  50:00:09:75:98:05:80:06
 273    2   33   019980   id    N16	  Online      FC  F-Port  50:00:09:75:98:05:80:07
 274    2   34   019a80   id    N16	  Online      FC  F-Port  50:00:09:75:98:05:80:08
 275    2   35   019b80   id    N16	  Online      FC  F-Port  50:00:09:75:98:05:80:09
 276    2   36   019c80   id    N16	  Online      FC  F-Port  50:00:09:75:98:05:80:18
 277    2   37   019d80   id    N16	  Online      FC  F-Port  50:00:09:75:98:05:80:19
 278    2   38   019e80   id    N16	  Online      FC  F-Port  50:00:09:75:98:05:90:04
 279    2   39   019f80   id    N16	  Online      FC  F-Port  50:00:09:75:98:05:90:05
 280    2   40   019080   id    N16	  Online      FC  F-Port  50:00:09:75:98:05:90:06
 281    2   41   019180   id    N16	  Online      FC  F-Port  50:00:09:75:98:05:90:07
 282    2   42   019280   id    N16	  Online      FC  F-Port  50:00:09:75:98:05:90:08
 283    2   43   019380   id    N16	  Online      FC  F-Port  50:00:09:75:98:05:90:09
 284    2   44   019480   id    N16	  Online      FC  F-Port  50:00:09:75:98:05:90:18
 285    2   45   019580   id    N16	  Online      FC  F-Port  50:00:09:75:98:05:90:19
 286    2   46   019680   id    N16	  No_Light    FC
 287    2   47   019780   id    N16	  No_Light    FC
  32    3    0   012000   id    N16	  No_Light    FC
  33    3    1   012100   id    N16	  No_Light    FC
  34    3    2   012200   id    N16	  Online      FC  F-Port  51:40:2e:c0:12:cc:26:78
  35    3    3   012300   id    N16	  No_Light    FC
  36    3    4   012400   id    N16	  Online      FC  F-Port  51:40:2e:c0:00:f3:cd:24
  37    3    5   012500   id    N8 	  Online      FC  F-Port  51:40:2e:c0:01:bf:d8:bc
  38    3    6   012600   id    N8 	  Online      FC  F-Port  51:40:2e:c0:00:55:c4:c0
  39    3    7   012700   id    N16	  Online      FC  F-Port  51:40:2e:c0:11:0e:94:04
  40    3    8   012800   id    N16	  Online      FC  F-Port  51:40:2e:c0:12:3f:0c:fc
  41    3    9   012900   id    N16	  No_Light    FC
  42    3   10   012a00   id    N8 	  Online      FC  F-Port  51:40:2e:c0:00:55:c4:60
  43    3   11   012b00   id    N8 	  Online      FC  F-Port  51:40:2e:c0:00:54:f4:b8
  44    3   12   012c00   id    N8 	  Online      FC  F-Port  51:40:2e:c0:00:55:ba:f4
  45    3   13   012d00   id    N8 	  Online      FC  F-Port  51:40:2e:c0:00:55:bc:20
  46    3   14   012e00   id    N8 	  Online      FC  F-Port  51:40:2e:c0:00:55:c4:5c
  47    3   15   012f00   id    N8 	  Online      FC  F-Port  51:40:2e:c0:00:55:ba:d0
 160    3   16   01a000   id    N16	  Online      FC  F-Port  51:40:2e:c0:00:a1:7b:4c
 161    3   17   01a100   id    N16	  Online      FC  F-Port  21:00:f4:e9:d4:51:bd:ec
 162    3   18   01a200   id    N16	  Online      FC  F-Port  51:40:2e:c0:12:3f:55:08
 163    3   19   01a300   id    N16	  Online      FC  F-Port  51:40:2e:c0:12:43:57:10
 164    3   20   01a400   id    N16	  Online      FC  F-Port  51:40:2e:c0:12:43:b6:54
 165    3   21   01a500   id    N16	  Online      FC  F-Port  21:00:f4:e9:d4:57:bc:50
 166    3   22   01a600   id    N16	  Online      FC  F-Port  51:40:2e:c0:12:43:57:36
 167    3   23   01a700   id    N16	  Online      FC  F-Port  51:40:2e:c0:12:43:4b:98
 168    3   24   01a800   id    N16	  Online      FC  F-Port  51:40:2e:c0:12:40:6b:48
 169    3   25   01a900   id    N16	  No_Light    FC
 170    3   26   01aa00   id    N16	  Online      FC  F-Port  51:40:2e:c0:14:82:13:04
